feature,score
every_coupon_count,4415
user_receive_all_coupon_count,4196
total_coupon,3894
mechant_mean_distance,3301
this_month_user_receive_same_coupon_count,3172
user_use_same_coupon_count,3134
user_use_all_coupon_count,3019
discount_rate,1999
discount_man,1667
this_month_user_receive_all_coupon_count,1626
discount_jian,1374
mechant_max_distance,791
distance,670
discount_type,496
mechant_min_distance,313
weekday_5.0,219
weekday_type,204
weekday_6.0,193
weekday_3.0,190
weekday_4.0,188
weekday_2.0,159
weekday_1.0,141
weekday_7.0,140
mechant_median_distance,87
